Country,Year,Happiness Score,gdp_per_capita,social_support,life_expectancy,freedom_of_choice,generosity,perceptions_of_corruption
Germany,2019,6.985,1.373,1.454,0.987,0.495,0.261,0.265
Belgium,2019,6.923,1.356,1.504,0.986,0.473,0.16,0.21
United States,2019,6.892,1.433,1.457,0.874,0.454,0.28,0.128
Czech Republic,2019,6.852,1.269,1.487,0.92,0.457,0.046,0.036
Malta,2019,6.726,1.3,1.52,0.999,0.564,0.375,0.151
Mexico,2019,6.595,1.07,1.323,0.861,0.433,0.074,0.073
France,2019,6.592,1.324,1.472,1.045,0.436,0.111,0.183
Taiwan Province of China,2019,6.446,1.368,1.43,0.914,0.351,0.242,0.097
Chile,2019,6.444,1.159,1.369,0.92,0.357,0.187,0.056
Guatemala,2019,6.436,0.8,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,2019,6.375,1.403,1.357,0.795,0.439,0.08,0.132
Spain,2019,6.354,1.286,1.484,1.062,0.362,0.153,0.079
Panama,2019,6.321,1.149,1.442,0.91,0.516,0.109,0.054
Brazil,2019,6.3,1.004,1.439,0.802,0.39,0.099,0.086
Uruguay,2019,6.293,1.124,1.465,0.891,0.523,0.127,0.15
Singapore,2019,6.262,1.572,1.463,1.141,0.556,0.271,0.453
El Salvador,2019,6.253,0.794,1.242,0.789,0.43,0.093,0.074
Italy,2019,6.223,1.294,1.488,1.039,0.231,0.158,0.03
Bahrain,2019,6.199,1.362,1.368,0.871,0.536,0.255,0.11
Slovakia,2019,6.198,1.246,1.504,0.881,0.334,0.121,0.014
Poland,2019,6.182,1.206,1.438,0.884,0.483,0.117,0.05
Uzbekistan,2019,6.174,0.745,1.529,0.756,0.631,0.322,0.24
Lithuania,2019,6.149,1.238,1.515,0.818,0.291,0.043,0.042
Colombia,2019,6.125,0.985,1.41,0.841,0.47,0.099,0.034
Slovenia,2019,6.118,1.258,1.523,0.953,0.564,0.144,0.057
Nicaragua,2019,6.105,0.694,1.325,0.835,0.435,0.2,0.127
Kosovo,2019,6.1,0.882,1.232,0.758,0.489,0.262,0.006
Argentina,2019,6.086,1.092,1.432,0.881,0.471,0.066,0.05
Romania,2019,6.07,1.162,1.232,0.825,0.462,0.083,0.005
Cyprus,2019,6.046,1.263,1.223,1.042,0.406,0.19,0.041
Ecuador,2019,6.028,0.912,1.312,0.868,0.498,0.126,0.087
Kuwait,2019,6.021,1.5,1.319,0.808,0.493,0.142,0.097
Thailand,2019,6.008,1.05,1.409,0.828,0.557,0.359,0.028
Latvia,2019,5.94,1.187,1.465,0.812,0.264,0.075,0.064
South Korea,2019,5.895,1.301,1.219,1.036,0.159,0.175,0.056
Estonia,2019,5.893,1.237,1.528,0.874,0.495,0.103,0.161
Jamaica,2019,5.89,0.831,1.478,0.831,0.49,0.107,0.028
Mauritius,2019,5.888,1.12,1.402,0.798,0.498,0.215,0.06
Japan,2019,5.886,1.327,1.419,1.088,0.445,0.069,0.14
Honduras,2019,5.86,0.642,1.236,0.828,0.507,0.246,0.078
Kazakhstan,2019,5.809,1.173,1.508,0.729,0.41,0.146,0.096
Bolivia,2019,5.779,0.776,1.209,0.706,0.511,0.137,0.064
Hungary,2019,5.758,1.201,1.41,0.828,0.199,0.081,0.02
Paraguay,2019,5.743,0.855,1.475,0.777,0.514,0.184,0.08
Peru,2019,5.697,0.96,1.274,0.854,0.455,0.083,0.027
Portugal,2019,5.693,1.221,1.431,0.999,0.508,0.047,0.025
Pakistan,2019,5.653,0.677,0.886,0.535,0.313,0.22,0.098
Russia,2019,5.648,1.183,1.452,0.726,0.334,0.082,0.031
Philippines,2019,5.631,0.807,1.293,0.657,0.558,0.117,0.107
Serbia,2019,5.603,1.004,1.383,0.854,0.282,0.137,0.039
Moldova,2019,5.529,0.685,1.328,0.739,0.245,0.181,0
Libya,2019,5.525,1.044,1.303,0.673,0.416,0.133,0.152
Montenegro,2019,5.523,1.051,1.361,0.871,0.197,0.142,0.08
Tajikistan,2019,5.467,0.493,1.098,0.718,0.389,0.23,0.144
Croatia,2019,5.432,1.155,1.266,0.914,0.296,0.119,0.022
Hong Kong S.A.R. of China,2019,5.43,1.438,1.277,1.122,0.44,0.258,0.287
Dominican Republic,2019,5.425,1.015,1.401,0.779,0.497,0.113,0.101
Bosnia and Herzegovina,2019,5.386,0.945,1.212,0.845,0.212,0.263,0.006
Turkey,2019,5.373,1.183,1.36,0.808,0.195,0.083,0.106
Malaysia,2019,5.339,1.221,1.171,0.828,0.508,0.26,0.024
Belarus,2019,5.323,1.067,1.465,0.789,0.235,0.094,0.142
Greece,2019,5.287,1.181,1.156,0.999,0.067,0,0.034
Mongolia,2019,5.285,0.948,1.531,0.667,0.317,0.235,0.038
North Macedonia,2019,5.274,0.983,1.294,0.838,0.345,0.185,0.034
Nigeria,2019,5.265,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,2019,5.261,0.551,1.438,0.723,0.508,0.3,0.023
Turkmenistan,2019,5.247,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,2019,5.211,1.002,1.16,0.785,0.086,0.073,0.114
Morocco,2019,5.208,0.801,0.782,0.782,0.418,0.036,0.076
Azerbaijan,2019,5.208,1.043,1.147,0.769,0.351,0.035,0.182
Lebanon,2019,5.197,0.987,1.224,0.815,0.216,0.166,0.027
Indonesia,2019,5.192,0.931,1.203,0.66,0.491,0.498,0.028
China,2019,5.191,1.029,1.125,0.893,0.521,0.058,0.1
Vietnam,2019,5.175,0.741,1.346,0.851,0.543,0.147,0.073
